url,label,source,rationale,http_status,http_error,final_url,n_redirects,saas_interior,synthetic_patterns,recommendation,recommendation_reason
https://app.mattermost.com/myteam/channels/town-square,TASK_COMPLETION,mattermost.com,Mattermost channel — in-flow comms (replaces slack),-1,"connection_error: HTTPSConnectionPool(host='app.mattermost.com', port=443): Max retries exceeded with url: /myteam/channels/town-square (Caused by NameResolutionError(""HTTPSConnection(host='app.mattermost.com', port=443): Failed to resolve 'app.mattermost.com' ([Errno 8] nodename nor servname provided, or not known)""))[:120]",,0,True,placeholder_myteam,REPLACE,synthetic_pattern: placeholder_myteam
https://app.mattermost.com/messages/direct,TASK_COMPLETION,mattermost.com,Mattermost DM — in-flow comms,-1,"connection_error: HTTPSConnectionPool(host='app.mattermost.com', port=443): Max retries exceeded with url: /messages/direct (Caused by NameResolutionError(""HTTPSConnection(host='app.mattermost.com', port=443): Failed to resolve 'app.mattermost.com' ([Errno 8] nodename nor servname provided, or not known)""))[:120]",,0,True,,REPLACE,saas_interior_subdomain (not in bid stream)
https://www.webex.com/teams/meet/start,TASK_COMPLETION,webex.com,Webex meeting start — in-flow (replaces zoom),403,,https://www.webex.com/teams/meet/start,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.webex.com/teams/recording-list,TASK_COMPLETION,webex.com,Webex recordings management,403,,https://www.webex.com/teams/recording-list,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://app.pipedrive.com/pipeline,TASK_COMPLETION,pipedrive.com,Pipedrive pipeline — CRM workflow (replaces salesforce),401,,https://app.pipedrive.com/pipeline,0,True,,REPLACE,saas_interior_subdomain (not in bid stream)
https://app.pipedrive.com/leads,TASK_COMPLETION,pipedrive.com,Pipedrive leads — CRM workflow,401,,https://app.pipedrive.com/leads,0,True,,REPLACE,saas_interior_subdomain (not in bid stream)
https://miro.com/app/board/abc123/,TASK_COMPLETION,miro.com,Miro board — visual collaboration tool (replaces figma),404,,https://miro.com/app/board/abc123/,0,False,placeholder_abc123,REPLACE,synthetic_pattern: placeholder_abc123
https://miro.com/app/team/12345/boards/,TASK_COMPLETION,miro.com,Miro team boards,404,,https://miro.com/app/team/12345/boards/,0,False,placeholder_12345,REPLACE,synthetic_pattern: placeholder_12345
https://app.smartsheet.com/sheets/12345,TASK_COMPLETION,smartsheet.com,Smartsheet sheet — in-flow productivity (replaces airtable),500,,https://app.smartsheet.com/sheets/12345,0,True,placeholder_12345,REPLACE,synthetic_pattern: placeholder_12345
https://www.notion.so/myteam/myproject-12345,TASK_COMPLETION,notion.so,Notion team page — workspace tooling,200,,https://www.notion.so/myteam/myproject-12345,0,False,placeholder_myteam,REPLACE,synthetic_pattern: placeholder_myteam
